Indicator,continent,code,country,year,sex,Suicide Rate
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,OMN,Oman,2016,Female,1.23
Age-standardized suicide rates (per 100 000 population),Europe,TUR,Türkiye,2016,Female,1.26
Age-standardized suicide rates (per 100 000 population),Europe,GRC,Greece,2016,Female,1.28
Age-standardized suicide rates (per 100 000 population),Western Pacific,PHL,Philippines,2016,Female,1.28
Age-standardized suicide rates (per 100 000 population),Africa,SYC,Seychelles,2016,Female,1.37
Age-standardized suicide rates (per 100 000 population),Americas,PER,Peru,2016,Female,1.41
Age-standardized suicide rates (per 100 000 population),Americas,LCA,Saint Lucia,2016,Female,1.47
Age-standardized suicide rates (per 100 000 population),Europe,AZE,Azerbaijan,2016,Female,1.54
Age-standardized suicide rates (per 100 000 population),Americas,BLZ,Belize,2016,Female,1.54
Age-standardized suicide rates (per 100 000 population),Americas,COL,Colombia,2016,Female,1.6
Age-standardized suicide rates (per 100 000 population),Europe,ARM,Armenia,2016,Female,1.67
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBN,Lebanon,2016,Female,1.7
Age-standardized suicide rates (per 100 000 population),South-East Asia,BGD,Bangladesh,2016,Female,1.72
Age-standardized suicide rates (per 100 000 population),Americas,NIC,Nicaragua,2016,Female,1.73
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,QAT,Qatar,2016,Female,1.79
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,TUN,Tunisia,2016,Female,1.82
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SYR,Syrian Arab Republic,2016,Both sexes,1.83
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,JOR,Jordan,2016,Both sexes,1.86
Age-standardized suicide rates (per 100 000 population),Europe,ISR,Israel,2016,Female,1.87
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2016,Female,1.94
Age-standardized suicide rates (per 100 000 population),Europe,ITA,Italy,2016,Female,1.94
Age-standardized suicide rates (per 100 000 population),Western Pacific,PNG,Papua New Guinea,2016,Female,1.97
Age-standardized suicide rates (per 100 000 population),Africa,SSD,South Sudan,2016,Male,10
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,PAK,Pakistan,2016,Both sexes,10.02
Age-standardized suicide rates (per 100 000 population),Western Pacific,FJI,Fiji,2016,Both sexes,10.03
Age-standardized suicide rates (per 100 000 population),Americas,GTM,Guatemala,2016,Male,10.04
Age-standardized suicide rates (per 100 000 population),Europe,TKM,Turkmenistan,2016,Male,10.15
Age-standardized suicide rates (per 100 000 population),Africa,NER,Niger,2016,Both sexes,10.22
Age-standardized suicide rates (per 100 000 population),Americas,SLV,El Salvador,2016,Male,10.22
Age-standardized suicide rates (per 100 000 population),Americas,BOL,Bolivia (Plurinational State of),2016,Male,10.34
Age-standardized suicide rates (per 100 000 population),Europe,CZE,Czechia,2016,Both sexes,10.34
Age-standardized suicide rates (per 100 000 population),Americas,CAN,Canada,2016,Both sexes,10.37
Age-standardized suicide rates (per 100 000 population),Africa,KEN,Kenya,2016,Both sexes,10.45
Age-standardized suicide rates (per 100 000 population),Africa,ZAF,South Africa,2016,Female,10.46
Age-standardized suicide rates (per 100 000 population),Europe,LUX,Luxembourg,2016,Male,10.55
Age-standardized suicide rates (per 100 000 population),Europe,SRB,Serbia,2016,Both sexes,10.58
Age-standardized suicide rates (per 100 000 population),Europe,FRA,France,2016,Both sexes,10.7
Age-standardized suicide rates (per 100 000 population),Europe,BGR,Bulgaria,2016,Male,10.71
Age-standardized suicide rates (per 100 000 population),Africa,NGA,Nigeria,2016,Male,10.72
Age-standardized suicide rates (per 100 000 population),Africa,MLI,Mali,2016,Male,10.73
Age-standardized suicide rates (per 100 000 population),South-East Asia,IND,India,2016,Female,10.79
Age-standardized suicide rates (per 100 000 population),Africa,SLE,Sierra Leone,2016,Both sexes,10.83
Age-standardized suicide rates (per 100 000 population),Western Pacific,AUS,Australia,2016,Both sexes,10.92
Age-standardized suicide rates (per 100 000 population),Africa,LSO,Lesotho,2016,Both sexes,107.1
Age-standardized suicide rates (per 100 000 population),Africa,UGA,Uganda,2016,Both sexes,11.06
Age-standardized suicide rates (per 100 000 population),Europe,NOR,Norway,2016,Both sexes,11.08
Age-standardized suicide rates (per 100 000 population),Europe,AUT,Austria,2016,Both sexes,11.13
Age-standardized suicide rates (per 100 000 population),Europe,MKD,The former Yugoslav Republic of Macedonia,2016,Male,11.21
Age-standardized suicide rates (per 100 000 population),Western Pacific,VNM,Viet Nam,2016,Male,11.22
Age-standardized suicide rates (per 100 000 population),Americas,DOM,Dominican Republic,2016,Male,11.34
Age-standardized suicide rates (per 100 000 population),Europe,POL,Poland,2016,Both sexes,11.37
Age-standardized suicide rates (per 100 000 population),Europe,HRV,Croatia,2016,Both sexes,11.48
Age-standardized suicide rates (per 100 000 population),Western Pacific,NZL,New Zealand,2016,Both sexes,11.52
Age-standardized suicide rates (per 100 000 population),Africa,SEN,Senegal,2016,Both sexes,11.53
Age-standardized suicide rates (per 100 000 population),Americas,HTI,Haiti,2016,Both sexes,11.64
Age-standardized suicide rates (per 100 000 population),Africa,COM,Comoros,2016,Male,11.68
Age-standardized suicide rates (per 100 000 population),Africa,GHA,Ghana,2016,Both sexes,11.74
Age-standardized suicide rates (per 100 000 population),Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2016,Male,11.78
Age-standardized suicide rates (per 100 000 population),Americas,SUR,Suriname,2016,Female,11.78
Age-standardized suicide rates (per 100 000 population),Americas,BLZ,Belize,2016,Male,11.88
Age-standardized suicide rates (per 100 000 population),South-East Asia,PRK,Democratic People's Republic of Korea,2016,Male,11.92
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,DJI,Djibouti,2016,Both sexes,12.08
Age-standardized suicide rates (per 100 000 population),Africa,COD,Democratic Republic of the Congo,2016,Both sexes,12.09
Age-standardized suicide rates (per 100 000 population),Americas,LCA,Saint Lucia,2016,Male,12.11
Age-standardized suicide rates (per 100 000 population),Europe,DNK,Denmark,2016,Male,12.15
Age-standardized suicide rates (per 100 000 population),Europe,SWE,Sweden,2016,Both sexes,12.15
Age-standardized suicide rates (per 100 000 population),Europe,PRT,Portugal,2016,Male,12.23
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2016,Female,12.23
Age-standardized suicide rates (per 100 000 population),Africa,MWI,Malawi,2016,Both sexes,12.25
Age-standardized suicide rates (per 100 000 population),Europe,ISL,Iceland,2016,Both sexes,12.26
Age-standardized suicide rates (per 100 000 population),Africa,COG,Congo,2016,Both sexes,12.29
Age-standardized suicide rates (per 100 000 population),Americas,CRI,Costa Rica,2016,Male,12.41
Age-standardized suicide rates (per 100 000 population),Europe,EST,Estonia,2016,Both sexes,12.49
Age-standardized suicide rates (per 100 000 population),South-East Asia,IND,India,2016,Both sexes,12.6
Age-standardized suicide rates (per 100 000 population),Africa,BDI,Burundi,2016,Both sexes,12.61
Age-standardized suicide rates (per 100 000 population),Western Pacific,FSM,Micronesia (Federated States of),2016,Female,12.66
Age-standardized suicide rates (per 100 000 population),Africa,MUS,Mauritius,2016,Male,12.75
Age-standardized suicide rates (per 100 000 population),Europe,NLD,Netherlands,2016,Male,12.76
Age-standardized suicide rates (per 100 000 population),Africa,GIN,Guinea,2016,Both sexes,12.79
Age-standardized suicide rates (per 100 000 population),Africa,AGO,Angola,2016,Both sexes,12.87
Age-standardized suicide rates (per 100 000 population),South-East Asia,THA,Thailand,2016,Male,12.99
Age-standardized suicide rates (per 100 000 population),Europe,UZB,Uzbekistan,2016,Male,13.15
Age-standardized suicide rates (per 100 000 population),Africa,GNB,Guinea-Bissau,2016,Both sexes,13.15
Age-standardized suicide rates (per 100 000 population),Europe,BIH,Bosnia and Herzegovina,2016,Male,13.23
Age-standardized suicide rates (per 100 000 population),Europe,FIN,Finland,2016,Both sexes,13.26
Age-standardized suicide rates (per 100 000 population),Africa,BEN,Benin,2016,Both sexes,13.27
Age-standardized suicide rates (per 100 000 population),Europe,HUN,Hungary,2016,Both sexes,13.34
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2016,Both sexes,13.42
Age-standardized suicide rates (per 100 000 population),Europe,DEU,Germany,2016,Male,13.53
Age-standardized suicide rates (per 100 000 population),Americas,ARG,Argentina,2016,Male,13.55
Age-standardized suicide rates (per 100 000 population),Europe,ROU,Romania,2016,Male,13.58
Age-standardized suicide rates (per 100 000 population),Africa,GMB,Gambia,2016,Male,13.63
Age-standardized suicide rates (per 100 000 population),Americas,USA,United States of America,2016,Both sexes,13.65
Age-standardized suicide rates (per 100 000 population),Africa,TZA,United Republic of Tanzania,2016,Male,13.65
Age-standardized suicide rates (per 100 000 population),Africa,TCD,Chad,2016,Both sexes,13.68
Age-standardized suicide rates (per 100 000 population),Western Pacific,JPN,Japan,2016,Both sexes,13.75
Age-standardized suicide rates (per 100 000 population),Africa,SYC,Seychelles,2016,Male,13.79
Age-standardized suicide rates (per 100 000 population),Africa,MDG,Madagascar,2016,Male,13.8
Age-standardized suicide rates (per 100 000 population),Western Pacific,FJI,Fiji,2016,Male,13.95
Age-standardized suicide rates (per 100 000 population),Americas,ECU,Ecuador,2016,Male,13.98
Age-standardized suicide rates (per 100 000 population),Europe,CHE,Switzerland,2016,Male,14.17
Age-standardized suicide rates (per 100 000 population),South-East Asia,LKA,Sri Lanka,2016,Both sexes,14.17
Age-standardized suicide rates (per 100 000 population),Africa,NER,Niger,2016,Male,14.22
Age-standardized suicide rates (per 100 000 population),Europe,SVN,Slovenia,2016,Both sexes,14.29
Age-standardized suicide rates (per 100 000 population),Africa,SLE,Sierra Leone,2016,Male,14.33
Age-standardized suicide rates (per 100 000 population),South-East Asia,IND,India,2016,Male,14.41
Age-standardized suicide rates (per 100 000 population),Americas,TTO,Trinidad and Tobago,2016,Male,14.46
Age-standardized suicide rates (per 100 000 population),Africa,GAB,Gabon,2016,Both sexes,14.55
Age-standardized suicide rates (per 100 000 population),Africa,ETH,Ethiopia,2016,Male,14.68
Age-standardized suicide rates (per 100 000 population),Europe,NOR,Norway,2016,Male,14.7
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SOM,Somalia,2016,Both sexes,14.83
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,PAK,Pakistan,2016,Male,14.88
Age-standardized suicide rates (per 100 000 population),Africa,NAM,Namibia,2016,Both sexes,14.92
Age-standardized suicide rates (per 100 000 population),Africa,GNQ,Equatorial Guinea,2016,Both sexes,14.97
Age-standardized suicide rates (per 100 000 population),Europe,BEL,Belgium,2016,Both sexes,15.02
Age-standardized suicide rates (per 100 000 population),Western Pacific,WSM,Samoa,2016,Both sexes,15.03
Age-standardized suicide rates (per 100 000 population),Africa,RWA,Rwanda,2016,Male,15.07
Age-standardized suicide rates (per 100 000 population),Americas,HTI,Haiti,2016,Male,15.08
Age-standardized suicide rates (per 100 000 population),Europe,IRL,Ireland,2016,Male,15.16
Age-standardized suicide rates (per 100 000 population),Africa,BFA,Burkina Faso,2016,Both sexes,15.16
Age-standardized suicide rates (per 100 000 population),Americas,CAN,Canada,2016,Male,15.32
Age-standardized suicide rates (per 100 000 population),Americas,CHL,Chile,2016,Male,15.45
Age-standardized suicide rates (per 100 000 population),Europe,KGZ,Kyrgyzstan,2016,Male,15.69
Age-standardized suicide rates (per 100 000 population),Africa,TGO,Togo,2016,Both sexes,15.97
Age-standardized suicide rates (per 100 000 population),Americas,CUB,Cuba,2016,Male,16.05
Age-standardized suicide rates (per 100 000 population),Americas,GUY,Guyana,2016,Female,16.08
Age-standardized suicide rates (per 100 000 population),Europe,MNE,Montenegro,2016,Both sexes,16.08
Age-standardized suicide rates (per 100 000 population),Western Pacific,AUS,Australia,2016,Male,16.33
Age-standardized suicide rates (per 100 000 population),Europe,GEO,Georgia,2016,Male,16.38
Age-standardized suicide rates (per 100 000 population),Europe,SRB,Serbia,2016,Male,16.47
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,DJI,Djibouti,2016,Male,16.5
Age-standardized suicide rates (per 100 000 population),Africa,CPV,Cabo Verde,2016,Both sexes,16.53
Age-standardized suicide rates (per 100 000 population),Africa,CMR,Cameroon,2016,Both sexes,16.62
Age-standardized suicide rates (per 100 000 population),Africa,ZMB,Zambia,2016,Both sexes,16.71
Age-standardized suicide rates (per 100 000 population),Europe,SWE,Sweden,2016,Male,16.74
Age-standardized suicide rates (per 100 000 population),Europe,FRA,France,2016,Male,16.89
Age-standardized suicide rates (per 100 000 population),Europe,CZE,Czechia,2016,Male,16.9
Age-standardized suicide rates (per 100 000 population),Africa,CIV,Côte d’Ivoire,2016,Both sexes,17
Age-standardized suicide rates (per 100 000 population),Europe,AUT,Austria,2016,Male,17.11
Age-standardized suicide rates (per 100 000 population),Europe,LVA,Latvia,2016,Both sexes,17.15
Age-standardized suicide rates (per 100 000 population),Western Pacific,NZL,New Zealand,2016,Male,17.24
Age-standardized suicide rates (per 100 000 population),Africa,KEN,Kenya,2016,Male,17.25
Age-standardized suicide rates (per 100 000 population),Europe,SVK,Slovakia,2016,Male,17.48
Age-standardized suicide rates (per 100 000 population),Europe,UKR,Ukraine,2016,Both sexes,17.56
Age-standardized suicide rates (per 100 000 population),Africa,ZWE,Zimbabwe,2016,Female,17.71
Age-standardized suicide rates (per 100 000 population),Western Pacific,SLB,Solomon Islands,2016,Both sexes,17.83
Age-standardized suicide rates (per 100 000 population),Africa,ERI,Eritrea,2016,Both sexes,18.3
Age-standardized suicide rates (per 100 000 population),South-East Asia,NPL,Nepal,2016,Male,18.44
Age-standardized suicide rates (per 100 000 population),Africa,COG,Congo,2016,Male,18.61
Age-standardized suicide rates (per 100 000 population),Americas,URY,Uruguay,2016,Both sexes,18.7
Age-standardized suicide rates (per 100 000 population),Europe,HRV,Croatia,2016,Male,18.79
Age-standardized suicide rates (per 100 000 population),Africa,LSO,Lesotho,2016,Male,180.1
Age-standardized suicide rates (per 100 000 population),Africa,GIN,Guinea,2016,Male,19.01
Age-standardized suicide rates (per 100 000 population),Africa,SEN,Senegal,2016,Male,19.24
Age-standardized suicide rates (per 100 000 population),Europe,BLR,Belarus,2016,Both sexes,19.4
Age-standardized suicide rates (per 100 000 population),Africa,BDI,Burundi,2016,Male,19.48
Age-standardized suicide rates (per 100 000 population),Western Pacific,JPN,Japan,2016,Male,19.74
Age-standardized suicide rates (per 100 000 population),Western Pacific,MNG,Mongolia,2016,Both sexes,19.82
Age-standardized suicide rates (per 100 000 population),Americas,MEX,Mexico,2016,Female,2.08
Age-standardized suicide rates (per 100 000 population),Africa,GHA,Ghana,2016,Female,2.09
Age-standardized suicide rates (per 100 000 population),Africa,STP,Sao Tome and Principe,2016,Both sexes,2.16
Age-standardized suicide rates (per 100 000 population),Europe,MLT,Malta,2016,Female,2.16
Age-standardized suicide rates (per 100 000 population),Americas,JAM,Jamaica,2016,Both sexes,2.18
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SAU,Saudi Arabia,2016,Female,2.19
Age-standardized suicide rates (per 100 000 population),Americas,SLV,El Salvador,2016,Female,2.2
Age-standardized suicide rates (per 100 000 population),Americas,CRI,Costa Rica,2016,Female,2.21
Age-standardized suicide rates (per 100 000 population),Europe,TUR,Türkiye,2016,Both sexes,2.26
Age-standardized suicide rates (per 100 000 population),Americas,VEN,Venezuela (Bolivarian Republic of),2016,Both sexes,2.29
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,EGY,Egypt,2016,Female,2.3
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,BHR,Bahrain,2016,Female,2.31
Age-standardized suicide rates (per 100 000 population),Europe,ROU,Romania,2016,Female,2.33
Age-standardized suicide rates (per 100 000 population),Americas,DOM,Dominican Republic,2016,Female,2.38
Age-standardized suicide rates (per 100 000 population),Western Pacific,BRN,Brunei Darussalam,2016,Both sexes,2.38
Age-standardized suicide rates (per 100 000 population),Western Pacific,MYS,Malaysia,2016,Female,2.41
Age-standardized suicide rates (per 100 000 population),South-East Asia,TLS,Timor-Leste,2016,Female,2.44
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,KWT,Kuwait,2016,Both sexes,2.45
Age-standardized suicide rates (per 100 000 population),Western Pacific,SLB,Solomon Islands,2016,Female,2.48
Age-standardized suicide rates (per 100 000 population),South-East Asia,THA,Thailand,2016,Female,2.48
Age-standardized suicide rates (per 100 000 population),Americas,BRA,Brazil,2016,Female,2.49
Age-standardized suicide rates (per 100 000 population),Africa,MUS,Mauritius,2016,Female,2.56
Age-standardized suicide rates (per 100 000 population),Europe,GEO,Georgia,2016,Female,2.58
Age-standardized suicide rates (per 100 000 population),South-East Asia,IDN,Indonesia,2016,Both sexes,2.58
Age-standardized suicide rates (per 100 000 population),Europe,SVK,Slovakia,2016,Female,2.59
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,ARE,United Arab Emirates,2016,Female,2.6
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2016,Both sexes,2.61
Age-standardized suicide rates (per 100 000 population),Americas,HND,Honduras,2016,Both sexes,2.66
Age-standardized suicide rates (per 100 000 population),Americas,PER,Peru,2016,Both sexes,2.66
Age-standardized suicide rates (per 100 000 population),Western Pacific,PHL,Philippines,2016,Both sexes,2.67
Age-standardized suicide rates (per 100 000 population),Europe,POL,Poland,2016,Female,2.67
Age-standardized suicide rates (per 100 000 population),Europe,ALB,Albania,2016,Female,2.68
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBN,Lebanon,2016,Both sexes,2.78
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,JOR,Jordan,2016,Male,2.8
Age-standardized suicide rates (per 100 000 population),Americas,GTM,Guatemala,2016,Female,2.8
Age-standardized suicide rates (per 100 000 population),Europe,ESP,Spain,2016,Female,2.83
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,IRQ,Iraq,2016,Female,2.84
Age-standardized suicide rates (per 100 000 population),Europe,BGR,Bulgaria,2016,Female,2.86
Age-standardized suicide rates (per 100 000 population),Americas,PRY,Paraguay,2016,Female,2.92
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SYR,Syrian Arab Republic,2016,Male,2.96
Age-standardized suicide rates (per 100 000 population),South-East Asia,NPL,Nepal,2016,Female,2.97
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,TUN,Tunisia,2016,Both sexes,2.98
Age-standardized suicide rates (per 100 000 population),Africa,COD,Democratic Republic of the Congo,2016,Male,20.11
Age-standardized suicide rates (per 100 000 population),Africa,GNQ,Equatorial Guinea,2016,Male,20.29
Age-standardized suicide rates (per 100 000 population),Europe,ISL,Iceland,2016,Male,20.3
Age-standardized suicide rates (per 100 000 population),Europe,FIN,Finland,2016,Male,20.41
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2016,Both sexes,20.49
Age-standardized suicide rates (per 100 000 population),Africa,UGA,Uganda,2016,Male,20.49
Age-standardized suicide rates (per 100 000 population),Europe,POL,Poland,2016,Male,20.5
Age-standardized suicide rates (per 100 000 population),Africa,TCD,Chad,2016,Male,20.81
Age-standardized suicide rates (per 100 000 population),Western Pacific,VUT,Vanuatu,2016,Both sexes,21
Age-standardized suicide rates (per 100 000 population),Africa,GNB,Guinea-Bissau,2016,Male,21.05
Age-standardized suicide rates (per 100 000 population),Americas,USA,United States of America,2016,Male,21.2
Age-standardized suicide rates (per 100 000 population),Africa,BEN,Benin,2016,Male,21.31
Age-standardized suicide rates (per 100 000 population),Europe,EST,Estonia,2016,Male,21.31
Age-standardized suicide rates (per 100 000 population),Western Pacific,WSM,Samoa,2016,Male,21.58
Age-standardized suicide rates (per 100 000 population),Europe,BEL,Belgium,2016,Male,21.68
Age-standardized suicide rates (per 100 000 population),Africa,AGO,Angola,2016,Male,21.84
Age-standardized suicide rates (per 100 000 population),Europe,HUN,Hungary,2016,Male,21.85
Age-standardized suicide rates (per 100 000 population),Europe,KAZ,Kazakhstan,2016,Both sexes,22.01
Age-standardized suicide rates (per 100 000 population),Africa,GHA,Ghana,2016,Male,22.18
Age-standardized suicide rates (per 100 000 population),Africa,MWI,Malawi,2016,Male,22.84
Age-standardized suicide rates (per 100 000 population),Africa,BWA,Botswana,2016,Both sexes,22.9
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SOM,Somalia,2016,Male,22.93
Age-standardized suicide rates (per 100 000 population),South-East Asia,LKA,Sri Lanka,2016,Male,23.07
Age-standardized suicide rates (per 100 000 population),Africa,MOZ,Mozambique,2016,Both sexes,23.4
Age-standardized suicide rates (per 100 000 population),Europe,SVN,Slovenia,2016,Male,23.64
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2016,Male,24.01
Age-standardized suicide rates (per 100 000 population),Europe,MNE,Montenegro,2016,Male,24.93
Age-standardized suicide rates (per 100 000 population),Africa,CAF,Central African Republic,2016,Both sexes,25.25
Age-standardized suicide rates (per 100 000 population),Africa,ZAF,South Africa,2016,Both sexes,25.31
Age-standardized suicide rates (per 100 000 population),Americas,SUR,Suriname,2016,Both sexes,25.47
Age-standardized suicide rates (per 100 000 population),Africa,TGO,Togo,2016,Male,25.62
Age-standardized suicide rates (per 100 000 population),Africa,GAB,Gabon,2016,Male,25.67
Age-standardized suicide rates (per 100 000 population),Africa,BFA,Burkina Faso,2016,Male,25.79
Age-standardized suicide rates (per 100 000 population),Africa,NAM,Namibia,2016,Male,25.94
Age-standardized suicide rates (per 100 000 population),Europe,LTU,Lithuania,2016,Both sexes,26.21
Age-standardized suicide rates (per 100 000 population),Africa,CMR,Cameroon,2016,Male,26.39
Age-standardized suicide rates (per 100 000 population),Europe,RUS,Russian Federation,2016,Both sexes,26.89
Age-standardized suicide rates (per 100 000 population),Africa,CIV,Côte d’Ivoire,2016,Male,27.75
Age-standardized suicide rates (per 100 000 population),Western Pacific,FSM,Micronesia (Federated States of),2016,Both sexes,28.18
Age-standardized suicide rates (per 100 000 population),Africa,CPV,Cabo Verde,2016,Male,28.27
Age-standardized suicide rates (per 100 000 population),Africa,ZWE,Zimbabwe,2016,Both sexes,28.7
Age-standardized suicide rates (per 100 000 population),Africa,ERI,Eritrea,2016,Male,28.82
Age-standardized suicide rates (per 100 000 population),Africa,ZMB,Zambia,2016,Male,29.14
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2016,Male,29.75
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,IRN,Iran (Islamic Republic of),2016,Female,3.03
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBY,Libya,2016,Female,3.04
Age-standardized suicide rates (per 100 000 population),South-East Asia,BTN,Bhutan,2016,Female,3.08
Age-standardized suicide rates (per 100 000 population),Americas,ARG,Argentina,2016,Female,3.08
Age-standardized suicide rates (per 100 000 population),South-East Asia,MDV,Maldives,2016,Both sexes,3.15
Age-standardized suicide rates (per 100 000 population),Western Pacific,KHM,Cambodia,2016,Female,3.19
Age-standardized suicide rates (per 100 000 population),Europe,PRT,Portugal,2016,Female,3.19
Age-standardized suicide rates (per 100 000 population),Western Pacific,TON,Tonga,2016,Female,3.23
Age-standardized suicide rates (per 100 000 population),Africa,STP,Sao Tome and Principe,2016,Male,3.24
Age-standardized suicide rates (per 100 000 population),Europe,TKM,Turkmenistan,2016,Female,3.24
Age-standardized suicide rates (per 100 000 population),Americas,CHL,Chile,2016,Female,3.27
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2016,Male,3.29
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SDN,Sudan,2016,Female,3.32
Age-standardized suicide rates (per 100 000 population),Africa,SSD,South Sudan,2016,Female,3.33
Age-standardized suicide rates (per 100 000 population),South-East Asia,MMR,Myanmar,2016,Both sexes,3.33
Age-standardized suicide rates (per 100 000 population),Americas,PAN,Panama,2016,Both sexes,3.35
Age-standardized suicide rates (per 100 000 population),Europe,TUR,Türkiye,2016,Male,3.37
Age-standardized suicide rates (per 100 000 population),Europe,GRC,Greece,2016,Both sexes,3.42
Age-standardized suicide rates (per 100 000 population),Americas,JAM,Jamaica,2016,Male,3.44
Age-standardized suicide rates (per 100 000 population),Europe,BIH,Bosnia and Herzegovina,2016,Female,3.46
Age-standardized suicide rates (per 100 000 population),Americas,BHS,Bahamas,2016,Both sexes,3.49
Age-standardized suicide rates (per 100 000 population),Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2016,Female,3.53
Age-standardized suicide rates (per 100 000 population),Europe,MKD,The former Yugoslav Republic of Macedonia,2016,Female,3.55
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,KWT,Kuwait,2016,Male,3.57
Age-standardized suicide rates (per 100 000 population),South-East Asia,BGD,Bangladesh,2016,Both sexes,3.6
Age-standardized suicide rates (per 100 000 population),Europe,TJK,Tajikistan,2016,Female,3.61
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,EGY,Egypt,2016,Both sexes,3.63
Age-standardized suicide rates (per 100 000 population),Western Pacific,LAO,Lao People's Democratic Republic,2016,Female,3.64
Age-standardized suicide rates (per 100 000 population),Western Pacific,PNG,Papua New Guinea,2016,Both sexes,3.64
Age-standardized suicide rates (per 100 000 population),Europe,IRL,Ireland,2016,Female,3.69
Age-standardized suicide rates (per 100 000 population),Americas,CUB,Cuba,2016,Female,3.79
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBN,Lebanon,2016,Male,3.86
Age-standardized suicide rates (per 100 000 population),Africa,MRT,Mauritania,2016,Female,3.86
Age-standardized suicide rates (per 100 000 population),Western Pacific,BRN,Brunei Darussalam,2016,Male,3.87
Age-standardized suicide rates (per 100 000 population),Europe,AZE,Azerbaijan,2016,Both sexes,3.92
Age-standardized suicide rates (per 100 000 population),Americas,VEN,Venezuela (Bolivarian Republic of),2016,Male,3.92
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2016,Female,3.92
Age-standardized suicide rates (per 100 000 population),Africa,NGA,Nigeria,2016,Female,3.93
Age-standardized suicide rates (per 100 000 population),Americas,PER,Peru,2016,Male,3.96
Age-standardized suicide rates (per 100 000 population),South-East Asia,IDN,Indonesia,2016,Male,3.98
Age-standardized suicide rates (per 100 000 population),Europe,ISL,Iceland,2016,Female,3.98
Age-standardized suicide rates (per 100 000 population),Europe,KGZ,Kyrgyzstan,2016,Female,3.99
Age-standardized suicide rates (per 100 000 population),Europe,LVA,Latvia,2016,Male,30.3
Age-standardized suicide rates (per 100 000 population),Americas,URY,Uruguay,2016,Male,30.32
Age-standardized suicide rates (per 100 000 population),Western Pacific,KIR,Kiribati,2016,Both sexes,31.38
Age-standardized suicide rates (per 100 000 population),Europe,UKR,Ukraine,2016,Male,32.4
Age-standardized suicide rates (per 100 000 population),Western Pacific,SLB,Solomon Islands,2016,Male,33.14
Age-standardized suicide rates (per 100 000 population),Western Pacific,VUT,Vanuatu,2016,Male,33.34
Age-standardized suicide rates (per 100 000 population),Western Pacific,MNG,Mongolia,2016,Male,34.01
Age-standardized suicide rates (per 100 000 population),Europe,BLR,Belarus,2016,Male,35.51
Age-standardized suicide rates (per 100 000 population),Europe,KAZ,Kazakhstan,2016,Male,38.21
Age-standardized suicide rates (per 100 000 population),Africa,BWA,Botswana,2016,Male,39.52
Age-standardized suicide rates (per 100 000 population),Americas,GUY,Guyana,2016,Both sexes,39.65
Age-standardized suicide rates (per 100 000 population),Africa,TZA,United Republic of Tanzania,2016,Female,4
Age-standardized suicide rates (per 100 000 population),Africa,UGA,Uganda,2016,Female,4.01
Age-standardized suicide rates (per 100 000 population),Africa,MWI,Malawi,2016,Female,4.03
Age-standardized suicide rates (per 100 000 population),Americas,COL,Colombia,2016,Both sexes,4.11
