name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
Alexey Shevtsov (Itpedia),entj,118,80%,84%,87%,55%,Te,Ni,Se,Fi,so/sx,683,LIE,RLOEI,VLFE,Choleric [Dominant],59,13,7,16,12,17,26,5,4,11,8,9,15
Antony Starr,entj,131,98%,98%,98%,54%,Te,Ni,Se,Fi,sp/sx,731,LIE,SCOAI,VLFE,Phlegmatic-Choleric,67,14,20,9,8,7,14,10,7,6,5,4,7
Manoel Gomes (Caneta Azul),entj,87,69%,72%,68%,70%,Te,Ni,Se,Fi,sp/so,385,LIE,RCOEI,VLFE,Choleric-Melancholic,54,23,22,13,15,7,28,12,10,7,3,4,11
Muharrem İnce,entj,149,96%,89%,93%,56%,Te,Ni,Se,Fi,so/sp,837,LIE,SCOEI,VFLE,Choleric [Dominant],77,5,6,15,4,4,10,4,3,7,2,3,8
Francis Bacon,entj,94,93%,94%,99%,94%,Te,Ni,Se,Fi,sp/so,548,LIE,SCOEI,VLEF,Choleric-Phlegmatic,79,19,15,20,11,10,11,13,7,18,7,4,6
Caliph Umar the Distinguisher (Farooq),entj,135,95%,76%,96%,79%,Te,Ni,Se,Fi,sx/so,836,SLE,RLOEI,VEFL,Choleric [Dominant],92,13,10,11,3,3,10,6,6,9,2,2,8
Betty White,entj,124,98%,56%,51%,52%,Te,Ni,Se,Fi,so/sp,783,SEE,SLOAI,XXXX,Sanguine [Dominant],60,17,11,11,6,0,12,15,7,8,5,0,12
Awsten Knight,entj,113,96%,93%,91%,72%,Te,Ni,Se,Fi,so/sx,738,ILE,SCOEI,EVFL,Sanguine-Choleric,77,15,26,4,8,2,10,7,9,3,7,1,8
Vince McMahon,entj,117,98%,79%,100%,93%,Te,Ni,Se,Fi,so/sp,837,SLE,SCOEI,VFLE,Choleric-Sanguine,91,13,9,13,6,3,13,9,4,6,3,3,11
Kyle Kulinski (Secular Talk),entj,115,69%,71%,83%,84%,Te,Ni,Se,Fi,so/sp,153,LSI,RCUEI,LVFE,Choleric-Sanguine,53,11,15,12,4,7,6,11,7,9,2,3,5
Andrew Cuomo,entj,97,91%,82%,100%,98%,Te,Ni,Se,Fi,sp/so,836,SLE,SCOEI,VFLE,Choleric [Dominant],72,18,13,16,3,2,9,10,8,11,3,2,8
Devin James Stone (LegalEagle),entj,110,97%,71%,95%,74%,Te,Ni,Se,Fi,so/sp,137,LIE,SCOAI,VLEF,Sanguine-Choleric,47,16,11,11,6,6,12,14,11,8,3,4,10
Shannon Renee (Objective Personality),entj,123,99%,80%,75%,91%,Te,Ni,Se,Fi,sx/so,731,SEE,SCOEI,VFEL,Choleric-Sanguine,74,17,9,11,4,1,8,6,4,7,2,1,4
Ali Abdaal,entj,129,83%,60%,97%,98%,Te,Ni,Se,Fi,sp/so,351,LIE,RCOAI,VLFE,Phlegmatic-Sanguine,56,6,10,9,2,5,6,5,4,9,2,5,2
Denial Typea (Denial Aguayo),entj,69,65%,64%,67%,67%,Te,Ni,Se,Fi,so/sp,351,LIE,RCOAI,VFLE,Phlegmatic-Choleric,40,17,19,13,14,12,19,9,7,5,6,5,9
Johan Cruyff,entj,105,94%,90%,96%,54%,Te,Ni,Se,Fi,sx/sp,853,LIE,SLOEI,VFLE,Choleric-Phlegmatic,56,11,17,15,6,4,9,8,9,6,2,2,5
Kim Jong-il (김정일),entj,156,53%,63%,69%,78%,Te,Ni,Se,Fi,so/sx,638,LSI,RCOEI,VFEL,Choleric-Phlegmatic,65,6,5,2,1,1,4,5,4,2,1,1,3
Henry II of England,entj,72,99%,100%,99%,96%,Te,Ni,Se,Fi,sp/sx,853,SLE,SCOEI,VLFE,Choleric [Dominant],67,7,18,10,16,20,9,4,17,8,15,11,9
Al Gore,entj,114,73%,82%,92%,96%,Te,Ni,Se,Fi,so/sp,136,LIE,SCOEI,LVFE,Sanguine-Choleric,63,9,5,13,3,5,6,5,3,5,2,3,3
Elizabeth Olsen,isfj,1210,48%,48%,56%,50%,Ne,Fe,Ti,Si,so/sx,936,ILE,RLOAI,FELV,Phlegmatic [Dominant],506,56,60,47,36,21,62,41,37,20,19,10,42
Sadie Sink,isfj,795,97%,61%,98%,96%,Si,Fe,Ti,Ne,sp/so,126,EII,RCOAI,ELFV,Phlegmatic-Sanguine,460,57,51,24,33,13,75,43,38,15,24,7,29
Beyoncé,isfj,736,63%,91%,87%,65%,Si,Fe,Ti,Ne,sp/sx,396,ESI,RCOAN,FVEL,Phlegmatic-Choleric,349,76,68,36,19,16,34,38,22,19,14,11,25
Charli D'Amelio,isfj,729,91%,94%,96%,68%,Si,Fe,Ti,Ne,so/sx,962,SEI,RLOAN,FELV,Phlegmatic-Sanguine,434,52,66,26,30,6,67,36,34,19,15,3,40
Bob Ross,isfj,623,96%,92%,98%,81%,Si,Fe,Ti,Ne,sp/so,974,SEI,RCOAI,FEVL,Phlegmatic [Dominant],459,57,36,53,10,6,60,49,24,52,9,3,50
Taeyeon (SNSD),isfj,511,99%,58%,98%,70%,Si,Fe,Ti,Ne,so/sp,946,SEI,RLOAI,FELV,Melancholic [Dominant],281,61,71,24,22,10,61,36,39,20,17,9,43
Kim Seungmin (Stray Kids),isfj,504,85%,97%,81%,98%,Si,Fe,Ti,Ne,sp/so,126,ESI,RCOAN,LFEV,Phlegmatic [Dominant],348,71,71,20,42,15,89,70,55,13,28,9,44
Jungwon (ENHYPEN),isfj,605,54%,84%,66%,97%,Si,Fe,Ti,Ne,so/sp,937,LSE,SCOAN,FEVL,Phlegmatic-Sanguine,274,55,45,15,24,10,46,43,16,6,19,6,33
Brian May,isfj,464,99%,52%,61%,61%,Si,Fe,Ti,Ne,sx/sp,952,EII,RCOAI,LEVF,Melancholic-Phlegmatic,234,30,43,32,21,1,41,19,26,18,12,1,30
mxmtoon,isfj,441,95%,73%,98%,89%,Si,Fe,Ti,Ne,so/sx,296,SEI,RCOAI,FELV,Melancholic-Sanguine,304,40,38,17,12,7,34,30,28,16,10,7,29
Yeji Hwang (ITZY),isfj,405,86%,98%,97%,84%,Si,Fe,Ti,Ne,sp/so,937,SEI,RCOAI,VELF,Sanguine-Phlegmatic,280,59,33,24,22,5,34,55,15,16,20,4,27
Bella Hadid,isfj,423,94%,93%,96%,68%,Si,Fe,Ti,Ne,sp/sx,936,SEI,RCOAI,FVEL,Phlegmatic-Sanguine,249,48,40,23,10,5,31,21,18,13,5,4,25
Lee Chaeryeong (ITZY),isfj,383,76%,91%,96%,96%,Si,Fe,Ti,Ne,sp/so,692,ESI,RLOAN,EVFL,Melancholic-Phlegmatic,239,40,39,16,22,10,35,34,23,10,19,5,26
Niki (Nihachu),isfj,327,89%,81%,100%,93%,Si,Fe,Ti,Ne,so/sp,926,SEI,SCOAN,FEVL,Phlegmatic [Dominant],224,55,46,20,21,8,34,39,43,17,17,7,27
Darryl Noveschosch (BadBoyHalo),isfj,299,85%,95%,99%,96%,Si,Fe,Ti,Ne,so/sp,269,ESE,SLOAN,EVFL,Phlegmatic-Sanguine,240,55,50,18,18,8,38,26,32,14,15,8,24
Henry Cavill,isfj,399,77%,86%,82%,86%,Si,Fe,Ti,Ne,so/sp,297,ESE,SCOAI,FVLE,Phlegmatic [Dominant],253,26,18,26,12,3,29,21,15,17,9,2,18
Jeonghan (SEVENTEEN),isfj,267,79%,83%,87%,86%,Si,Fe,Ti,Ne,so/sx,926,SEI,SCOAN,FELV,Phlegmatic [Dominant],199,53,46,11,17,8,33,33,17,6,11,8,15
ViVi (LOONA),isfj,265,99%,89%,99%,63%,Si,Fe,Ti,Ne,sp/so,926,SEI,RCUAN,FEVL,Phlegmatic [Dominant],164,34,36,15,26,7,43,30,27,14,13,5,39
Confucius,isfj,288,94%,73%,53%,85%,Si,Fe,Ti,Ne,so/sp,152,EII,RCOAI,LVFE,Phlegmatic-Melancholic,124,25,15,26,9,6,18,18,12,9,8,3,9
Adam,isfj,296,92%,98%,56%,55%,Si,Fe,Ti,Ne,sp/sx,936,SLI,RCUAN,FELV,Phlegmatic-Sanguine,137,17,16,11,12,6,20,14,9,5,5,4,7
Eugenia Cooney,isfj,194,96%,93%,99%,75%,Si,Fe,Ti,Ne,sp/so,926,SEI,RLUAN,FELV,Phlegmatic [Dominant],142,36,32,15,17,8,30,26,21,13,12,5,17
Park Jinyoung (GOT7),isfj,265,99%,78%,43%,99%,Si,Te,Fi,Ne,sp/so,612,LSI,RCOAN,LFVE,Phlegmatic [Dominant],108,26,22,10,13,5,20,20,13,8,10,2,11
Lili Reinhart,isfj,261,97%,60%,89%,86%,Si,Fe,Ti,Ne,sp/sx,926,EII,RLUAN,XXXX,Melancholic-Phlegmatic,126,22,27,8,11,0,17,19,12,4,7,0,16
Mother Teresa,isfj,250,98%,61%,97%,97%,Si,Fe,Ti,Ne,so/sp,261,IEI,RCOAI,EVLF,Phlegmatic-Sanguine,147,19,12,22,6,2,14,10,8,14,4,2,7
Seonghwa (ATEEZ),isfj,230,82%,92%,93%,98%,Si,Fe,Ti,Ne,sx/so,216,ESI,RCOAN,LEFV,Phlegmatic [Dominant],166,25,17,14,6,5,23,23,14,12,4,3,16
"Catherine, Princess of Wales",isfj,224,79%,81%,78%,95%,Si,Fe,Ti,Ne,so/sp,926,EII,RLUAI,XXXX,Phlegmatic-Sanguine,153,20,21,24,2,0,19,16,9,8,1,0,15
Jimmy Carter,isfj,223,98%,63%,97%,90%,Si,Fe,Ti,Ne,sp/so,962,EII,RCOAI,EFLV,Melancholic-Phlegmatic,135,15,15,13,14,2,12,9,8,9,8,1,10
Liz (IVE),isfj,230,99%,52%,100%,49%,Fi,Fe,Ti,Te,sp/so,692,IEI,RCOAI,ELFV,Phlegmatic-Sanguine,109,19,15,11,11,6,11,18,15,6,5,4,8
Chungha,isfj,230,65%,97%,68%,79%,Si,Fe,Ti,Ne,so/sp,631,LSE,RCOAN,VLFE,Melancholic-Choleric,96,17,11,8,4,3,9,13,7,6,3,2,6
Phillip Watson (Philza Minecraft),isfj,146,97%,96%,95%,95%,Si,Fe,Ti,Ne,so/sp,692,SEI,RCOAI,LEFV,Phlegmatic [Dominant],131,28,24,10,11,5,23,19,20,9,9,3,16
Barış Özcan,isfj,198,87%,73%,61%,83%,Si,Fe,Ti,Ne,so/sp,513,SEI,RCOAI,LVEF,Phlegmatic-Melancholic,104,12,10,10,4,2,9,8,6,9,4,1,3
Marie Kondo,isfj,179,96%,83%,97%,97%,Si,Fe,Ti,Ne,sp/so,125,ESE,SCOAI,FEVL,Phlegmatic [Dominant],134,27,11,14,7,6,13,16,6,9,6,3,9
"William, Prince of Wales",isfj,179,71%,93%,91%,91%,Si,Fe,Ti,Ne,sp/so,162,LSE,SCOAN,XXXX,Phlegmatic [Dominant],112,13,12,19,2,0,19,7,6,7,2,0,12
Wonho,isfj,187,81%,51%,99%,43%,Si,Fe,Ti,Ne,so/sx,296,IEI,RLOAN,FVLE,Sanguine-Melancholic,76,22,18,14,4,3,12,15,11,7,1,2,8
Liam Payne,isfj,220,70%,96%,80%,94%,Si,Fe,Ti,Ne,sp/so,361,ESE,RCOAN,XXXX,Phlegmatic-Melancholic,112,8,10,4,2,0,12,7,8,4,2,0,9
Felipe Zaghetti (Felps),isfj,140,97%,94%,97%,73%,Si,Fe,Ti,Ne,sp/so,972,SEI,RCOAN,FELV,Phlegmatic-Sanguine,96,18,16,11,10,3,24,17,14,10,9,2,22
Bruce Willis,isfj,173,77%,98%,54%,57%,Si,Fe,Ti,Ne,sp/sx,973,ESI,RCOAN,FELV,Sanguine-Choleric,82,8,9,14,3,3,8,7,8,5,2,3,5
Joko Widodo (Jokowi),isfj,144,94%,88%,76%,84%,Si,Fe,Ti,Ne,sp/so,612,EII,RCOAI,VEFL,Phlegmatic [Dominant],94,15,20,9,10,9,26,10,5,3,5,2,16
Anthony Hopkins,isfj,183,97%,66%,86%,98%,Si,Fe,Ti,Ne,sp/sx,145,ESI,RLOAI,LEVF,Phlegmatic [Dominant],100,8,11,11,7,1,9,6,8,5,4,1,6
Shen Xiaoting (Kep1er),isfj,137,90%,100%,93%,99%,Si,Fe,Ti,Ne,sp/so,126,SEI,RCOAN,FELV,Phlegmatic [Dominant],115,23,17,4,11,4,26,11,7,4,4,4,14
Jão,isfj,137,99%,91%,99%,64%,Si,Fe,Ti,Ne,sx/so,946,SEI,RLUAN,FELV,Melancholic-Phlegmatic,82,15,25,2,10,2,23,13,15,2,4,2,15
Carlo Ancelotti,isfj,202,98%,51%,50%,98%,Ni,Fe,Ti,Ne,so/sp,173,SEI,RCOAN,LEFV,Phlegmatic-Melancholic,90,4,10,5,4,3,11,2,4,2,2,1,9
Kim Minju,isfj,142,99%,77%,84%,63%,Si,Fe,Ti,Ne,sp/so,964,EII,RLOAI,FELV,Melancholic-Phlegmatic,62,11,16,3,11,1,20,9,13,3,7,1,16
Demeter,isfj,147,71%,97%,95%,99%,Si,Fe,Ti,Ne,sp/sx,269,SEI,RLOAN,EFLV,Melancholic-Choleric,98,15,16,11,6,6,10,7,9,7,3,3,5
Mitt Romney,isfj,124,87%,98%,59%,98%,Si,Fe,Ti,Ne,so/sp,136,LSE,RCOAN,LFVE,Phlegmatic-Melancholic,70,15,15,17,6,4,11,14,13,9,4,2,9
Kemal Kılıçdaroğlu,isfj,112,92%,88%,84%,87%,Si,Fe,Ti,Ne,sp/so,692,SEI,RCOAN,EVFL,Phlegmatic-Melancholic,81,20,18,15,8,4,16,13,7,7,2,2,6
YoonA (SNSD),isfj,140,75%,93%,92%,60%,Si,Fe,Ti,Ne,sp/so,397,SEI,RCOAN,VEFL,Phlegmatic-Sanguine,67,17,13,3,6,2,11,13,6,3,4,2,8
Amy Coney Barrett,isfj,125,78%,98%,82%,98%,Si,Fe,Ti,Ne,so/sp,126,ESI,RCOEN,LVFE,Phlegmatic [Dominant],78,7,12,7,9,1,11,5,6,6,5,1,9
Roger Federer,isfj,155,59%,72%,71%,61%,Si,Fe,Ti,Ne,sp/so,217,SEI,RCOAN,FEVL,Phlegmatic [Dominant],65,5,8,5,2,2,6,3,4,2,2,1,3
Seth Meyers,isfj,133,85%,50%,54%,50%,Si,Fe,Ti,Ne,so/sp,613,ILE,SCUAI,LEVF,Phlegmatic-Sanguine,59,8,9,8,4,3,7,8,7,4,3,2,5
Kaia Gerber,isfj,135,97%,55%,98%,99%,Si,Fe,Ti,Ne,so/sx,952,SEI,RCOAI,FELV,Phlegmatic [Dominant],69,8,18,6,2,1,8,5,7,3,1,1,7
Neo & Toprak,isfj,92,99%,78%,68%,71%,Si,Fe,Ti,Ne,so/sp,648,ESI,RCOAI,ELFV,Melancholic-Phlegmatic,61,20,16,13,7,5,18,8,6,7,3,4,10
Hestia,isfj,125,100%,87%,97%,94%,Si,Fe,Ti,Ne,sp/so,926,EII,RCOAN,LEVF,Phlegmatic [Dominant],106,7,9,6,4,2,13,5,6,3,3,2,10
Tiago Leifert,isfj,110,66%,84%,84%,85%,Si,Fe,Ti,Ne,so/sp,692,SEI,SCOAI,FELV,Phlegmatic [Dominant],62,11,9,8,5,1,19,5,9,7,4,1,16
xSMA333(محمد المكسيكي),isfj,139,83%,51%,60%,88%,Si,Fe,Ti,Ne,sp/so,639,LII,RCOAN,LFVE,Melancholic-Sanguine,53,9,7,5,4,3,7,6,4,2,1,1,2
Louis Partridge,isfj,109,70%,91%,96%,63%,Si,Fe,Ti,Ne,so/sx,692,IEE,SCOAI,FEVL,Sanguine [Dominant],58,13,12,4,4,5,12,8,8,2,3,3,4
Arin (OH MY GIRL),isfj,118,99%,77%,99%,46%,Fi,Fe,Ti,Te,so/sp,927,EII,RCUAI,EFLV,Phlegmatic-Sanguine,54,9,9,5,4,2,10,3,7,2,2,1,6
Sade Adu,isfj,87,99%,91%,100%,75%,Si,Fe,Ti,Ne,sx/sp,926,SEI,RCUAI,EFVL,Phlegmatic [Dominant],62,20,11,5,5,2,9,18,7,4,4,1,6
Jamie Raines (Jammidodger),isfj,104,96%,52%,98%,94%,Si,Fe,Ti,Ne,so/sp,962,EII,SCOAI,XXXX,Phlegmatic [Dominant],52,7,8,1,4,0,12,5,7,1,3,0,11
Enes Aslanlı (Sadece Enes),isfj,88,69%,60%,52%,59%,Si,Fe,Ti,Ne,sp/so,614,LII,RCOEI,LVFE,Melancholic-Choleric,39,13,10,6,5,6,10,7,5,4,4,3,6
Seul Gi Lee (Latte ASMR),isfj,96,95%,90%,98%,97%,Si,Fe,Ti,Ne,sp/so,926,SEI,RCOAI,FEVL,Phlegmatic [Dominant],81,11,10,5,2,2,13,10,9,3,2,2,11
Phil Collins,isfj,96,68%,77%,95%,66%,Si,Fe,Ti,Ne,so/sx,649,SEI,RCOAN,FEVL,Phlegmatic-Melancholic,49,8,8,6,4,1,9,7,5,4,3,1,5
Santiago Abascal,isfj,87,89%,74%,90%,97%,Si,Fe,Ti,Ne,so/sx,612,ESI,RCOAN,VEFL,Choleric-Melancholic,54,8,16,7,4,2,6,4,5,5,2,1,3
Nako Yabuki,isfj,99,78%,78%,99%,80%,Si,Fe,Ti,Ne,so/sp,972,SEI,RCOAI,FELV,Phlegmatic [Dominant],72,9,15,2,7,1,9,8,9,2,7,1,6
Andrés Iniesta,isfj,106,100%,57%,96%,58%,Si,Fe,Ti,Ne,so/sx,926,EII,RCOAN,FELV,Phlegmatic [Dominant],56,6,4,4,4,2,12,3,2,2,3,1,9
Toby Hendy (Tibees),isfj,95,96%,63%,87%,87%,Si,Fe,Ti,Ne,sp/so,512,EII,RCOAI,LEFV,Phlegmatic-Melancholic,56,8,11,9,3,2,8,7,6,5,3,2,6
Bashar al-Assad,isfj,86,98%,91%,78%,95%,Si,Fe,Ti,Ne,sp/so,613,LII,RCOAN,XXXX,Melancholic [Dominant],63,12,7,16,5,0,7,10,4,8,4,0,4
Miranda Cosgrove,isfj,79,81%,86%,95%,86%,Si,Fe,Ti,Ne,so/sx,296,ESE,SCOAN,EVFL,Phlegmatic [Dominant],59,14,16,12,4,2,17,9,9,6,2,2,8
Mary I of England “Bloody Mary”,isfj,86,94%,100%,76%,100%,Si,Fe,Ti,Ne,so/sp,612,ESI,RLOEN,FVEL,Melancholic-Choleric,61,15,9,8,4,2,12,9,8,4,3,1,9
Steven Williams (Boogie2988),isfj,79,96%,72%,97%,70%,Si,Fe,Ti,Ne,sp/so,649,SEI,RLUAI,ELVF,Melancholic [Dominant],52,10,14,11,5,1,6,10,6,8,5,1,5
Sean Evans,isfj,109,83%,77%,61%,96%,Si,Fe,Ti,Ne,so/sp,639,ESE,RCOAI,XXXX,Phlegmatic [Dominant],43,6,3,4,5,0,5,5,3,2,3,0,5
Minami Hamabe,isfj,76,100%,55%,70%,97%,Si,Fe,Ti,Ne,sx/sp,513,EII,XXXX,XXXX,Phlegmatic-Melancholic,41,8,10,2,0,0,6,8,5,1,0,0,4
Jill Biden,isfj,86,69%,76%,99%,98%,Si,Fe,Ti,Ne,so/sx,268,SEI,RCOAI,FELV,Choleric-Sanguine,57,8,11,9,4,2,7,5,9,5,4,2,5
Charles Leclerc,isfj,86,81%,93%,99%,88%,Si,Fe,Ti,Ne,sp/so,136,ESI,RLUAN,EVFL,Melancholic-Choleric,58,12,12,7,4,2,7,8,8,4,2,1,7
Ellie Goulding,isfj,86,93%,88%,97%,57%,Si,Fe,Ti,Ne,sp/sx,963,SEI,RCOAN,FELV,Melancholic-Sanguine,44,9,9,3,2,2,4,6,5,3,2,2,4
Kirsten Dunst,isfj,92,78%,75%,96%,78%,Si,Fe,Ti,Ne,so/sp,269,SEI,RLOAN,XXXX,Phlegmatic [Dominant],55,8,7,8,2,0,4,5,5,7,2,0,4
"Tobi Brown ""Tobjizzle""",isfj,87,100%,91%,91%,53%,Si,Fe,Ti,Ne,sp/so,926,SEI,RCOAI,FEVL,Phlegmatic [Dominant],41,8,7,3,5,3,8,5,7,3,4,3,4
Rachel McAdams,isfj,82,63%,71%,98%,95%,Si,Fe,Ti,Ne,sp/so,396,ESI,SCOAN,XXXX,Sanguine-Phlegmatic,48,12,10,3,6,0,7,9,5,2,5,0,6
Awesamdude,isfj,86,98%,60%,95%,99%,Si,Fe,Ti,Ne,sx/so,251,SEI,RLOAI,XXXX,Phlegmatic-Melancholic,48,8,6,4,6,0,8,5,6,2,4,0,7
N'Golo Kanté,isfj,91,100%,70%,100%,68%,Si,Fe,Ti,Ne,so/sp,962,SEI,RCOAN,EFLV,Phlegmatic [Dominant],61,5,3,5,2,2,8,2,2,4,2,1,5
Paulo Muzy,isfj,60,78%,92%,83%,93%,Si,Fe,Ti,Ne,so/sp,125,LSE,RCOAN,FVLE,Phlegmatic [Dominant],39,16,12,5,5,4,12,7,5,3,2,4,6
Julián Álvarez,isfj,92,66%,71%,99%,58%,Si,Fe,Ti,Ne,sx/so,972,ILE,RLOAN,VFEL,Phlegmatic-Sanguine,49,4,4,3,5,2,3,2,2,2,3,1,2
Leighton Meester,isfj,97,66%,91%,99%,95%,Si,Fe,Ti,Ne,so/sp,296,ESI,SCOAN,XXXX,Phlegmatic [Dominant],55,5,6,4,1,0,1,4,3,2,1,0,1
Pedri,isfj,90,99%,50%,97%,97%,Si,Fe,Ti,Ne,so/sp,125,ESI,RCOAN,FELV,Phlegmatic [Dominant],43,3,3,3,4,3,6,3,1,1,3,1,4
Seyed Ebrahim Raisi,isfj,97,92%,74%,72%,96%,Si,Fe,Ti,Ne,sp/so,163,ESI,RLOAI,XXXX,Phlegmatic-Melancholic,41,4,6,5,2,0,3,4,3,4,1,0,2
Lee Jong-suk,isfj,97,100%,63%,99%,62%,Si,Fe,Ti,Ne,sp/so,962,XXXX,RCOEN,FELV,Phlegmatic [Dominant],58,4,4,0,1,1,4,3,2,0,1,1,3
Taylor Swift,esfj,2336,88%,80%,90%,84%,Fe,Si,Ne,Ti,so/sx,361,ESE,SCOAI,VEFL,Sanguine-Melancholic,1523,377,386,234,164,108,281,221,188,78,93,48,215
Ariana Grande,esfj,1482,89%,87%,96%,78%,Fe,Si,Ne,Ti,so/sx,269,ESE,SLOAI,FELV,Sanguine-Phlegmatic,993,257,193,103,76,53,143,104,71,76,50,22,114
Olivia Rodrigo,esfj,1288,91%,73%,98%,91%,Fe,Si,Ne,Ti,so/sx,269,ESE,SLOAI,FELV,Sanguine-Melancholic,856,187,162,82,112,45,147,132,81,64,75,23,114
J-Hope (BTS),esfj,1225,94%,88%,98%,94%,Fe,Si,Ne,Ti,so/sp,739,ESE,SCOAN,EFVL,Sanguine [Dominant],1032,139,117,59,63,19,141,113,58,57,39,12,111
Rosé (BLACKPINK),esfj,1025,83%,70%,98%,73%,Fe,Si,Ne,Ti,sp/so,692,SEI,SCOAI,EFVL,Sanguine-Phlegmatic,580,146,122,40,48,17,117,68,56,27,24,12,73
Joe Biden,esfj,942,93%,84%,90%,91%,Fe,Si,Ne,Ti,so/sp,613,ESE,SCOAN,EFVL,Choleric-Sanguine,645,103,88,84,47,32,87,84,47,56,25,16,37
Seán McLoughlin (Jacksepticeye),esfj,771,99%,62%,97%,83%,Fe,Si,Ne,Ti,so/sp,369,ESE,SCOAI,EVFL,Sanguine [Dominant],456,79,98,45,29,16,79,63,29,40,19,12,68
Paul McCartney,esfj,815,69%,79%,98%,68%,Fe,Si,Ne,Ti,so/sp,371,ESE,SCOAI,FEVL,Sanguine [Dominant],362,64,55,58,39,21,59,41,41,37,28,13,37
James Charles,esfj,813,97%,91%,77%,59%,Fe,Si,Ne,Ti,so/sx,371,ESE,SLOAN,FEVL,Sanguine [Dominant],289,54,51,30,21,6,37,41,19,20,9,2,23
Millie Bobby Brown,esfj,631,98%,91%,95%,90%,Fe,Si,Ne,Ti,so/sx,279,ESE,SLOAI,VEFL,Sanguine [Dominant],509,71,71,43,38,22,67,57,42,33,18,13,49
Mark Lee (NCT),esfj,664,80%,45%,96%,68%,Fe,Si,Ne,Ti,so/sp,613,ESE,SLOAI,FVLE,Sanguine [Dominant],259,84,52,35,23,11,56,66,23,17,12,5,46
Kim Dahyun (TWICE),esfj,686,71%,71%,73%,69%,Fe,Si,Ne,Ti,so/sp,369,ESE,RCOAN,FELV,Sanguine [Dominant],289,59,58,27,34,7,75,41,31,21,16,4,34
Mariah Carey,esfj,499,88%,98%,58%,87%,Fe,Si,Ne,Ti,sx/so,368,ESE,SLOAI,FVEL,Sanguine-Choleric,216,61,46,35,27,11,42,44,21,19,12,8,27
Karina (aespa),esfj,502,64%,76%,91%,94%,Fe,Si,Ne,Ti,so/sp,316,ESE,SCOAI,FEVL,Phlegmatic [Dominant],250,60,58,24,27,17,59,29,29,12,19,8,40
Emilia Clarke,esfj,561,97%,53%,99%,94%,Fe,Si,Ne,Ti,so/sx,279,ESE,SCUAN,FELV,Sanguine [Dominant],276,37,25,29,15,8,37,35,22,22,8,4,35
Chris Evans,esfj,587,72%,90%,98%,89%,Fe,Si,Ne,Ti,sp/so,629,ESE,SCOAI,EFVL,Sanguine [Dominant],371,31,22,13,16,3,30,18,19,10,8,3,25
Jimmy Fallon,esfj,472,97%,83%,96%,72%,Fe,Si,Ne,Ti,so/sp,739,ESE,SCUAN,FELV,Sanguine [Dominant],303,40,28,25,9,2,31,29,17,16,5,1,26
Khloé Kardashian,esfj,454,98%,95%,65%,46%,Se,Si,Ne,Ni,so/sx,682,SEE,SCOAN,FVEL,Sanguine-Choleric,184,31,26,16,14,6,26,22,15,7,9,5,23
Khloé Kardashian,esfj,454,98%,95%,65%,46%,Se,Si,Ne,Ni,so/sx,682,SEE,SCOAN,FVEL,Sanguine-Choleric,184,31,26,16,14,6,26,22,15,7,9,5,23
Wendy (Red Velvet),esfj,390,94%,84%,98%,94%,Fe,Si,Ne,Ti,so/sx,279,ESE,SCOAI,FELV,Sanguine [Dominant],299,41,29,16,16,8,47,22,25,15,10,4,36
Gigi Hadid,esfj,428,98%,64%,88%,81%,Fe,Si,Ne,Ti,sx/so,628,ESE,SCOAI,EVFL,Sanguine-Choleric,195,34,23,26,10,6,31,19,18,15,9,5,26
Jungwoo (NCT),esfj,377,54%,53%,99%,88%,Fe,Si,Ne,Ti,sp/so,629,EII,RCOAI,EVLF,Phlegmatic-Sanguine,176,52,37,11,13,6,33,26,29,6,8,4,23
Emily Sim (Emirichu),esfj,301,100%,59%,100%,85%,Fe,Si,Ne,Ti,so/sp,926,ESE,SCOAI,EFLV,Sanguine [Dominant],178,34,34,16,20,9,30,30,25,14,13,4,23
SeungKwan (SEVENTEEN),esfj,256,99%,82%,87%,62%,Fe,Si,Ne,Ti,so/sp,728,ESE,SLUAN,EFVL,Sanguine-Choleric,134,31,24,15,10,3,29,16,11,14,9,3,27
LeBron James,esfj,263,90%,92%,79%,78%,Fe,Si,Ne,Ti,so/sx,386,ESE,SCOAN,VFEL,Sanguine-Choleric,157,27,21,22,10,5,18,18,14,14,8,4,16
Mingyu (SEVENTEEN),esfj,240,96%,73%,91%,86%,Fe,Si,Ne,Ti,so/sx,371,ESE,SLOAI,VEFL,Sanguine-Phlegmatic,148,35,20,13,16,4,20,18,15,12,11,3,11
Addison Rae,esfj,249,98%,90%,95%,70%,Fe,Si,Ne,Ti,so/sx,379,ESE,SCOAN,FEVL,Sanguine [Dominant],159,20,21,10,17,4,18,13,20,9,11,2,18
